epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0456,0.4732,0.93251,0.94597,0.99365,0.99442,0.99498,0.93214,0.38056,0.23694,0.88136,0.0672459,3.27869e-05,3.27869e-05
2,72.2032,0.34082,0.21764,0.86147,0.99913,0.99827,0.995,0.96425,0.27433,0.17623,0.82053,0.0339458,6.60556e-05,6.60556e-05
3,105.291,0.2998,0.204,0.84283,0.98444,0.98997,0.99246,0.96377,0.27259,0.21251,0.80882,0.000645513,9.90654e-05,9.90654e-05
4,137.878,0.29428,0.20219,0.83834,0.96811,0.98651,0.99251,0.95609,0.27223,0.2314,0.8182,9.91232e-05,9.91232e-05,9.91232e-05
5,169.672,0.27523,0.18852,0.83433,0.99751,0.99936,0.99495,0.97802,0.22739,0.15272,0.79985,9.84449e-05,9.84449e-05,9.84449e-05
6,201.643,0.26358,0.18184,0.82994,0.98809,0.99905,0.99482,0.97816,0.21945,0.16095,0.79619,9.75773e-05,9.75773e-05,9.75773e-05
7,233.895,0.25541,0.18022,0.82767,0.99853,0.99967,0.995,0.9788,0.21767,0.14598,0.79525,9.65239e-05,9.65239e-05,9.65239e-05
8,266.081,0.24171,0.16663,0.82092,0.99786,0.99881,0.99496,0.98226,0.20932,0.14407,0.79236,9.52889e-05,9.52889e-05,9.52889e-05
9,299.243,0.24003,0.16531,0.82365,0.99809,0.99904,0.99498,0.98272,0.2054,0.14642,0.79316,9.38772e-05,9.38772e-05,9.38772e-05
10,332.289,0.23961,0.16479,0.82259,0.9955,0.99918,0.99493,0.98146,0.21644,0.14171,0.79624,9.22942e-05,9.22942e-05,9.22942e-05
11,364.841,0.22959,0.15815,0.81915,0.99884,0.9998,0.995,0.98749,0.1838,0.12889,0.78645,9.05463e-05,9.05463e-05,9.05463e-05
12,398.047,0.22219,0.15424,0.81597,0.99665,0.99794,0.99495,0.98562,0.18106,0.13195,0.78616,8.86404e-05,8.86404e-05,8.86404e-05
13,430.02,0.21863,0.15068,0.81553,0.99948,0.99998,0.995,0.98819,0.16412,0.11276,0.78075,8.65839e-05,8.65839e-05,8.65839e-05
14,462.003,0.21192,0.14643,0.81403,0.99939,1,0.995,0.98839,0.18159,0.12083,0.78399,8.43851e-05,8.43851e-05,8.43851e-05
15,494.977,0.21118,0.14388,0.81207,0.99704,0.99918,0.99481,0.98714,0.16878,0.11791,0.78325,8.20525e-05,8.20525e-05,8.20525e-05
16,527.733,0.20811,0.14283,0.81326,0.99384,0.99714,0.9948,0.98695,0.17345,0.12387,0.78165,7.95954e-05,7.95954e-05,7.95954e-05
17,559.632,0.20238,0.13811,0.80981,0.99827,0.99866,0.995,0.98538,0.18127,0.12134,0.78596,7.70234e-05,7.70234e-05,7.70234e-05
18,591.918,0.20302,0.13832,0.8107,0.99918,0.99926,0.995,0.98816,0.1776,0.1179,0.78445,7.43468e-05,7.43468e-05,7.43468e-05
19,624.397,0.19992,0.13639,0.80909,0.99865,1,0.995,0.98932,0.16162,0.1099,0.77862,7.15761e-05,7.15761e-05,7.15761e-05
20,656.403,0.1992,0.13669,0.81073,0.99826,0.99991,0.99499,0.98836,0.16035,0.1088,0.7814,6.87222e-05,6.87222e-05,6.87222e-05
21,688.803,0.19354,0.13261,0.80704,0.99798,0.99987,0.99499,0.98905,0.16349,0.106,0.77935,6.57963e-05,6.57963e-05,6.57963e-05
22,720.396,0.19211,0.1303,0.80681,0.99894,0.99928,0.995,0.98848,0.16174,0.10687,0.78262,6.28101e-05,6.28101e-05,6.28101e-05
23,752.632,0.18511,0.12809,0.80298,0.99742,0.99937,0.99499,0.98817,0.15867,0.10674,0.78321,5.97754e-05,5.97754e-05,5.97754e-05
